iter	Logloss
0	0.6872209094
1	0.6804339145
2	0.6732528746
3	0.6681560389
4	0.662699804
5	0.6563585781
6	0.6506201324
7	0.6444930175
8	0.6377227731
9	0.632257369
10	0.6267429026
11	0.6209766171
12	0.6158790326
13	0.6109357762
14	0.6057050284
15	0.6006980221
16	0.5955288269
17	0.5906716859
18	0.5853966171
19	0.5806970342
20	0.5758051047
21	0.5709894069
22	0.5665945275
23	0.5619288129
24	0.5572125636
25	0.5528817723
26	0.5490311537
27	0.5443053078
28	0.5390848901
29	0.5349829511
30	0.5310323532
31	0.5275621172
32	0.5237730519
33	0.5201013815
34	0.5168134579
35	0.5127259587
36	0.5102940211
37	0.506526783
38	0.5028922935
39	0.4992835415
40	0.4942165339
41	0.490071281
42	0.4867996246
43	0.4861434847
44	0.482480252
45	0.4790453361
46	0.4760322539
47	0.4733353744
48	0.469539591
49	0.4663703542
50	0.4626740935
51	0.4594504727
52	0.4564892332
53	0.4531803437
54	0.45081964
55	0.4483015705
56	0.4462773772
57	0.4439083405
58	0.4414054039
59	0.4388000609
60	0.4362092336
61	0.4328904792
62	0.4301354686
63	0.4280087108
64	0.4251440519
65	0.4233729162
66	0.4214737282
67	0.4187701969
68	0.4169136256
69	0.4147858242
70	0.4124074454
71	0.4097683249
72	0.4072517916
73	0.40546721
74	0.4032878657
75	0.4006087424
76	0.3985317243
77	0.3964616538
78	0.3942257989
79	0.3924868384
80	0.3904207034
81	0.3877977347
82	0.3859397862
83	0.3847832955
84	0.382667482
85	0.3810405606
86	0.3787817395
87	0.3774376121
88	0.3755781034
89	0.37260114
90	0.3702546041
91	0.3681078662
92	0.3654917954
93	0.3637208346
94	0.361962704
95	0.3605275659
96	0.3587850251
97	0.3579187292
98	0.3563894999
99	0.3549414635
