iter	Passed	Remaining
0	2	418
1	4	399
2	5	387
3	7	384
4	9	374
5	11	369
6	13	366
7	15	365
8	17	362
9	18	359
10	20	357
11	22	356
12	24	351
13	26	347
14	28	347
15	30	345
16	31	343
17	33	341
18	35	337
19	37	337
20	39	336
21	41	333
22	42	330
23	44	326
24	46	323
25	47	320
26	49	318
27	51	316
28	53	314
29	55	312
30	56	310
31	58	308
32	60	306
33	62	304
34	64	302
35	65	300
36	67	297
37	69	295
38	71	293
39	72	291
40	74	289
41	76	287
42	78	285
43	79	283
44	81	281
45	83	279
46	85	277
47	87	275
48	88	273
49	90	272
50	92	270
51	94	268
52	96	266
53	97	264
54	99	262
55	101	260
56	103	259
57	105	257
58	106	255
59	108	253
60	110	252
61	112	250
62	114	248
63	116	246
64	117	244
65	119	242
66	121	240
67	123	238
68	124	236
69	126	234
70	128	233
71	130	231
72	132	229
73	133	227
74	135	225
75	137	224
76	139	222
77	140	220
78	142	218
79	144	216
80	146	214
81	148	213
82	149	211
83	151	209
84	153	207
85	155	205
86	157	203
87	158	202
88	160	200
89	162	198
90	164	196
91	165	194
92	167	192
93	169	191
94	171	189
95	173	187
96	174	185
97	176	183
98	177	181
99	179	179
100	181	177
101	183	175
102	184	174
103	186	172
104	188	170
105	190	168
106	191	166
107	193	164
108	195	163
109	197	161
110	199	159
111	200	157
112	202	156
113	204	154
114	206	152
115	208	150
116	209	148
117	211	147
118	213	145
119	215	143
120	217	141
121	219	140
122	220	138
123	222	136
124	224	134
125	226	132
126	228	131
127	229	129
128	231	127
129	233	125
130	235	123
131	236	122
132	238	120
133	240	118
134	242	116
135	244	114
136	246	113
137	247	111
138	249	109
139	251	107
140	253	105
141	254	104
142	256	102
143	258	100
144	260	98
145	261	96
146	263	95
147	265	93
148	266	91
149	268	89
150	270	87
151	272	85
152	273	84
153	275	82
154	277	80
155	279	78
156	281	76
157	282	75
158	284	73
159	286	71
160	288	69
161	289	68
162	291	66
163	293	64
164	295	62
165	296	60
166	298	59
167	300	57
168	302	55
169	304	53
170	305	51
171	307	50
172	309	48
173	311	46
174	313	44
175	315	42
176	316	41
177	318	39
178	320	37
179	322	35
180	324	34
181	325	32
182	327	30
183	329	28
184	331	26
185	333	25
186	334	23
187	336	21
188	338	19
189	339	17
190	341	16
191	343	14
192	344	12
193	346	10
194	348	8
195	350	7
196	351	5
197	353	3
198	355	1
199	357	0
