exp_id,status,n_features,AUROC,AUROC_std,AUPRC,AUPRC_std,Sensitivity,Spec,F1_pos,Bal_Acc,Brier,Sens@90Spec,Specificity,AUROC_fmt,AUPRC_fmt
EXP_01_generic_stats_only,OK,113.0,0.726277979431337,0.061652571300286944,0.4360414262336613,0.054550323072049024,0.7408333333333335,0.7117967332123412,0.5177145900805143,0.7263150332728372,,0.34249999999999997,,0.726 ± 0.062,0.436 ± 0.055
EXP_02_generic_plus_quality,OK,113.0,0.726277979431337,0.061652571300286944,0.4360414262336613,0.054550323072049024,0.7408333333333335,0.7117967332123412,0.5177145900805143,0.7263150332728372,,0.34249999999999997,,0.726 ± 0.062,0.436 ± 0.055
EXP_03_st_only_v1v3,OK,342.0,0.9099818511796733,0.03656213986361668,0.7989283366974935,0.09137751038144196,0.8025,0.895220810647308,0.7405044819678965,0.8488604053236539,,0.725,,0.910 ± 0.037,0.799 ± 0.091
EXP_04_morph_only_v1v3,OK,216.0,0.8724510990118975,0.042737194040808155,0.7209964380438763,0.10715305983466143,0.8450000000000001,0.8257713248638838,0.6875058275058274,0.835385662431942,,0.6716666666666666,,0.872 ± 0.043,0.721 ± 0.107
EXP_05_st_plus_morph_v1v3,OK,558.0,0.9101356120185521,0.027642751265871273,0.7985639090963879,0.07246837505568261,0.8441666666666666,0.8920145190562614,0.752506573046213,0.8680905928614638,,0.7375,,0.910 ± 0.028,0.799 ± 0.072
EXP_06_st_morph_crosslead,OK,569.0,0.9098517846339987,0.027909158657855915,0.808812852077575,0.07226609511590298,0.8433333333333334,0.8886872353297036,0.7479150956570312,0.8660102843315183,,0.7775000000000001,,0.910 ± 0.028,0.809 ± 0.072
EXP_07_all_handcrafted,OK,682.0,0.9178821334946562,0.02743140969852452,0.8033000136800892,0.08024350852219442,0.8833333333333332,0.8745311554748941,0.753156164185576,0.8789322444041137,,0.75,,0.918 ± 0.027,0.803 ± 0.080
EXP_08_all_features_including_generic,OK,682.0,0.9178821334946562,0.02743140969852452,0.8033000136800892,0.08024350852219442,0.8833333333333332,0.8745311554748941,0.753156164185576,0.8789322444041137,,0.75,,0.918 ± 0.027,0.803 ± 0.080
EXP_09_v1v3_only_all_feature_types,OK,682.0,0.9184860859044163,0.025509974291601012,0.8135927759362003,0.10109071131505547,0.8433333333333334,0.9229885057471264,0.7976732323269325,0.8831609195402299,,0.7641666666666667,,0.918 ± 0.026,0.814 ± 0.101
EXP_10_no_v1v3_all_others,OK,124.0,0.8721350070578746,0.03151127933722308,0.7059357501220849,0.09499764334626172,0.8958333333333334,0.7936479128856625,0.6846006227873216,0.8447406231094978,,0.6333333333333333,,0.872 ± 0.032,0.706 ± 0.095
EXP_11_v1_only,OK,186.0,0.853337366404517,0.046508848097725854,0.6774628858213433,0.13792676776399448,0.8041666666666668,0.8672716273442227,0.7169535556157947,0.8357191470054447,,0.6591666666666667,,0.853 ± 0.047,0.677 ± 0.138
EXP_12_v2_only,OK,186.0,0.8934926396450897,0.034553073750591495,0.8036623211245197,0.05637234764034114,0.8183333333333334,0.8676950998185118,0.7150070598457695,0.8430142165759225,,0.7241666666666667,,0.893 ± 0.035,0.804 ± 0.056
EXP_13_v1v2_only,OK,372.0,0.9016596087920952,0.037191534259317496,0.8020402271831463,0.0974603541310178,0.8291666666666668,0.895220810647308,0.7504173740803621,0.8621937386569872,,0.7775000000000001,,0.902 ± 0.037,0.802 ± 0.097
EXP_14_all_except_st,OK,340.0,0.9020674531155475,0.03149269101798097,0.7686364403855628,0.0854511523252915,0.8833333333333334,0.8462189957652753,0.7232308848781053,0.8647761645493043,,0.7108333333333334,,0.902 ± 0.031,0.769 ± 0.085
EXP_15_all_except_morph,OK,466.0,0.9183202258519862,0.026606246176858184,0.8070686884615957,0.09653367532194385,0.8833333333333332,0.8640653357531761,0.7474445865302642,0.8736993345432547,,0.7775000000000001,,0.918 ± 0.027,0.807 ± 0.097
EXP_16_all_except_crosslead,OK,671.0,0.9169711635410366,0.024549942343040632,0.809169944607927,0.08354714430749541,0.8708333333333332,0.902238354506957,0.780855790592099,0.8865358439201453,,0.7775000000000001,,0.917 ± 0.025,0.809 ± 0.084
EXP_17_all_except_twave,OK,599.0,0.9202409760032264,0.03814287233279913,0.8020728732283349,0.11684620590250681,0.8433333333333334,0.9197822141560799,0.7861242884250474,0.8815577737447067,,0.8033333333333333,,0.920 ± 0.038,0.802 ± 0.117
EXP_18_metadata_only,FAILED_NO_FEATURES,,,,,,,,,,,,,N/A,N/A
EXP_19_ecg_handcrafted_plus_metadata,OK,682.0,0.9178821334946562,0.02743140969852452,0.8033000136800892,0.08024350852219442,0.8833333333333332,0.8745311554748941,0.753156164185576,0.8789322444041137,,0.75,,0.918 ± 0.027,0.803 ± 0.080
EXP_20_cnn_only,SKIPPED_NO_CNN,,,,,,,,,,,,,N/A,N/A
EXP_21_cnn_plus_handcrafted,SKIPPED_NO_CNN,,,,,,,,,,,,,N/A,N/A
EXP_22_cnn_plus_st_morph_only,SKIPPED_NO_CNN,,,,,,,,,,,,,N/A,N/A
