feature,brugada_mean,normal_mean,effect_size,abs_effect,p_value
st_V2_st_monotonicity_min,0.5565110565110565,0.21095977193538168,1.2869547341898397,1.2869547341898397,2.6935456331114336e-19
st_V2_st_curvature_sign_mean,0.06314307711366536,0.7885012991375113,-1.2821793282653147,1.2821793282653147,1.713436002157252e-21
st_V2_st_monotonicity_median,0.6922604422604423,0.3327526132404181,1.221876214026517,1.221876214026517,3.339042474660943e-19
st_V2_st_monotonicity_mean,0.6903325099849164,0.34017304483013633,1.2215999109448217,1.2215999109448217,2.3215310241925826e-19
st_V2_st_j20_median,0.2791114864864864,0.1347560975609756,1.14380109987035,1.14380109987035,3.4529648689027437e-15
st_V2_st_j20_mean,0.2753343279308353,0.13380161288555717,1.142903710974383,1.142903710974383,3.4707432095329737e-15
st_V2_st_monotonicity_max,0.8304668304668306,0.49445676274944556,1.1423023776537424,1.1423023776537424,3.211365218243359e-19
st_V2_j_point_amplitude_mean,0.2940712363864938,0.14234075473622543,1.1253806391041548,1.1253806391041548,2.2115383393057007e-16
st_V2_j_point_amplitude_median,0.2970979729729729,0.14323432055749125,1.1173442992787734,1.1173442992787734,3.331267747289691e-16
st_V2_st_curvature_sign_median,0.10810810810810811,0.8658536585365854,-1.0837230502013597,1.0837230502013597,6.286853322170317e-17
st_V2_st_slope_j20_j80_mean,-0.001359315548083895,0.0004159391515252998,-1.0458477280664096,1.0458477280664096,1.1060463831593949e-17
st_V2_st_slope_j20_j80_median,-0.0013904279279279039,0.00042279326364690946,-1.0436631835607504,1.0436631835607504,6.075951116308012e-18
st_V2_st_curvature_sign_min,-0.7567567567567568,0.25435540069686413,-1.016491993989033,1.016491993989033,6.667850317579389e-15
st_V2_st_convexity_median,-7.77027027027053e-05,0.0025686411149825443,-1.0117691803325892,1.0117691803325892,7.755860694755813e-14
morph_V2_high_takeoff_gt_2mm_mean,0.7348229098229097,0.2896598388181542,1.008034343886478,1.008034343886478,1.4647437722047614e-13
st_V2_high_takeoff_gt_2mm_mean,0.7348229098229097,0.2896598388181542,1.008034343886478,1.008034343886478,1.4647437722047614e-13
st_V2_high_takeoff_gt_2mm_min,0.6081081081081081,0.1672473867595819,1.006693781631137,1.006693781631137,1.1573242778432734e-14
morph_V2_high_takeoff_gt_2mm_min,0.6081081081081081,0.1672473867595819,1.006693781631137,1.006693781631137,1.1573242778432734e-14
st_V1_st_j40_max,0.19248648648648647,0.11663763066202089,1.0054895708511105,1.0054895708511105,5.169220883907456e-11
st_V2_st_convexity_mean,-0.0002567706340868167,0.0024186978111007252,-0.9968124322975341,0.9968124322975341,3.666524414247074e-15
st_V1_st_j40_mean,0.1453796948569007,0.08263673595685686,0.9705901390105991,0.9705901390105991,1.4894887315647272e-11
cl_max_st_j40_v1v3,0.2720304054054054,0.1578658536585366,0.9691018001934467,0.9691018001934467,3.7720825663580855e-11
st_V2_st_j40_median,0.23884797297297297,0.1285923344947735,0.9604708933318049,0.9604708933318049,1.7385711164253332e-11
st_V1_st_j40_median,0.14643243243243242,0.08269686411149824,0.9600645648548426,0.9600645648548426,2.937717904770374e-11
st_V2_st_j40_mean,0.23663886333095893,0.12750537379261181,0.9587038522413184,0.9587038522413184,1.1546502671614708e-11
cl_mean_st_j40_v1v3,0.18222747747747745,0.10373606271777001,0.9495199586683898,0.9495199586683898,9.077352176197674e-11
st_V2_st_slope_j20_j80_min,-0.0021905405405405107,-0.0003662020905923274,-0.9442123337667162,0.9442123337667162,7.460655564602614e-16
st_V2_high_takeoff_gt_2mm_median,0.7432432432432432,0.289198606271777,0.9385853468885671,0.9385853468885671,7.740746625840379e-13
morph_V2_high_takeoff_gt_2mm_median,0.7432432432432432,0.289198606271777,0.9385853468885671,0.9385853468885671,7.740746625840379e-13
st_V1_st_j20_mean,0.1850594581028404,0.104520664732906,0.9247150905986972,0.9247150905986972,8.873724446770382e-14
st_V1_st_j20_median,0.18957094594594595,0.10438763066202089,0.9204512968641015,0.9204512968641015,4.938042038785632e-14
st_V1_high_takeoff_gt_2mm_mean,0.42233894219188334,0.11594418418252575,0.9185351623331915,0.9185351623331915,2.7286457954953767e-11
morph_V1_high_takeoff_gt_2mm_mean,0.42233894219188334,0.11594418418252575,0.9185351623331915,0.9185351623331915,2.7286457954953767e-11
st_V2_st_j20_max,0.33502027027027026,0.18757142857142853,0.9017617242774648,0.9017617242774648,1.2350261540466837e-13
morph_V1_high_takeoff_gt_2mm_median,0.4391891891891892,0.10627177700348432,0.8844618067591711,0.8844618067591711,1.8007341576315862e-11
st_V1_high_takeoff_gt_2mm_median,0.4391891891891892,0.10627177700348432,0.8844618067591711,0.8844618067591711,1.8007341576315862e-11
st_V2_j_point_amplitude_max,0.35306081081081075,0.20047212543554008,0.8779179997917145,0.8779179997917145,3.830124010067658e-14
st_V2_st_curvature_sign_std,0.6089165012569409,0.263268323735027,0.8777043912332535,0.8777043912332535,1.3618671980773025e-11
st_V1_st_j20_max,0.23538513513513512,0.14673519163763063,0.8665151412190908,0.8665151412190908,2.7226964956270177e-12
st_V1_st_slope_j20_j80_median,-0.0018495495495495068,-0.0006698896631823156,-0.8617459183977393,0.8617459183977393,5.742540853006564e-20
st_V1_st_slope_j20_j80_mean,-0.001786048633475063,-0.0006734921136176625,-0.8538817632038608,0.8538817632038608,3.092288428511649e-17
st_V1_j_point_amplitude_mean,0.2040499406528818,0.12108526692149878,0.8368233565699956,0.8368233565699956,6.220604466173763e-13
st_V1_j_point_amplitude_median,0.20868243243243242,0.12077700348432055,0.8329193006026105,0.8329193006026105,4.7300700852783476e-14
morph_V2_high_takeoff_gt_1mm_min,0.8513513513513513,0.4425087108013937,0.8176852794645447,0.8176852794645447,3.5865121173721935e-10
st_V2_high_takeoff_gt_1mm_min,0.8513513513513513,0.4425087108013937,0.8176852794645447,0.8176852794645447,3.5865121173721935e-10
