learning_rate,batch_size,dropout,weight_decay,auroc,auprc,sensitivity,specificity,best_epoch
0.0001,8,0.3,0.0001,0.9630541871921183,0.8580341110803295,0.9285714285714286,0.9310344827586207,44
0.0001,32,0.3,0.001,0.9605911330049262,0.8827682238396524,0.9285714285714286,0.9655172413793104,35
0.0003,16,0.3,0.001,0.9605911330049262,0.8827682238396524,0.9285714285714286,0.9655172413793104,11
0.001,8,0.3,0.0001,0.958128078817734,0.9019226804941091,0.9285714285714286,0.9655172413793104,12
0.0003,32,0.3,0.001,0.956896551724138,0.9002354788069074,0.8571428571428571,0.9655172413793104,17
0.0001,16,0.3,0.0001,0.9568965517241379,0.8963469279258753,0.9285714285714286,0.896551724137931,31
0.0003,8,0.5,0.001,0.9532019704433498,0.8629699874060777,0.9285714285714286,0.896551724137931,6
0.001,8,0.5,0.0001,0.9532019704433498,0.859298017452595,0.9285714285714286,0.896551724137931,18
0.001,16,0.3,0.001,0.9519704433497538,0.9030763878978164,0.9285714285714286,0.9482758620689655,2
0.0003,16,0.5,0.001,0.9519704433497537,0.8986652236652237,0.9285714285714286,0.9137931034482759,5
0.001,16,0.5,0.001,0.9507389162561577,0.8848346914523386,0.9285714285714286,0.9310344827586207,8
0.0003,16,0.3,0.0001,0.9507389162561577,0.8879402975765204,0.7857142857142857,0.9655172413793104,31
0.0003,8,0.3,0.001,0.9495073891625616,0.8572295584900627,0.9285714285714286,0.9310344827586207,7
0.0003,32,0.5,0.001,0.9482758620689655,0.8666135451849737,0.9285714285714286,0.9655172413793104,11
0.0001,8,0.5,0.0001,0.9482758620689655,0.8403168843294894,0.9285714285714286,0.8793103448275862,17
0.001,8,0.3,0.001,0.9470443349753694,0.8627444975659262,0.9285714285714286,0.9482758620689655,4
0.0001,16,0.3,0.001,0.9458128078817735,0.855411318005303,0.9285714285714286,0.896551724137931,19
0.001,32,0.5,0.001,0.9445812807881773,0.8669968768121983,0.9285714285714286,0.9310344827586207,4
0.0003,32,0.3,0.0001,0.9433497536945813,0.8681161332498979,0.9285714285714286,0.896551724137931,11
0.0001,8,0.5,0.001,0.9421182266009853,0.8775876678622674,0.9285714285714286,0.896551724137931,12
0.0003,8,0.5,0.0001,0.9421182266009853,0.8338984952955542,0.9285714285714286,0.9137931034482759,8
0.001,32,0.5,0.0001,0.9421182266009853,0.8746959598463357,0.8571428571428571,0.9827586206896551,5
0.001,8,0.5,0.001,0.9408866995073891,0.8511629452418927,0.9285714285714286,0.896551724137931,4
0.0001,16,0.5,0.0001,0.9396551724137931,0.8585837167541588,0.9285714285714286,0.9310344827586207,15
0.0001,16,0.5,0.001,0.9396551724137931,0.8314881080637384,0.9285714285714286,0.8793103448275862,20
0.0003,8,0.3,0.0001,0.9384236453201971,0.8502789127671142,0.9285714285714286,0.896551724137931,11
0.001,32,0.3,0.001,0.9359605911330049,0.8423489209203495,0.7857142857142857,0.9827586206896551,11
0.0001,32,0.5,0.001,0.9359605911330049,0.871989221096364,0.9285714285714286,0.9482758620689655,13
0.001,32,0.3,0.0001,0.9347290640394089,0.8460568574997325,0.9285714285714286,0.9310344827586207,4
0.0001,8,0.3,0.001,0.9347290640394088,0.7913805888172247,0.9285714285714286,0.8620689655172413,35
0.0003,32,0.5,0.0001,0.9347290640394088,0.8310441111683347,0.9285714285714286,0.9137931034482759,10
0.0001,32,0.3,0.0001,0.9298029556650247,0.8043520013326839,0.9285714285714286,0.8793103448275862,37
0.001,16,0.3,0.0001,0.9248768472906405,0.7990249657175122,0.9285714285714286,0.7758620689655172,8
0.0003,16,0.5,0.0001,0.9224137931034484,0.7930853950219676,0.9285714285714286,0.8448275862068966,7
0.001,16,0.5,0.0001,0.9211822660098522,0.8010661473640568,0.8571428571428571,0.9310344827586207,3
0.0001,32,0.5,0.0001,0.9199507389162561,0.7937662948100102,0.8571428571428571,0.9137931034482759,10
