feature,mean_FP,mean_TN,std_FP,std_TN,mean_difference,cohen_d,abs_cohen_d
sq_I_snr_proxy,4902.115949427309,1505.486674252624,6370.951841565593,2057.9925178914937,3396.629275174685,1.4989851397642526,1.4989851397642526
morph_V3_t_inversion_indicator_median,0.375,0.08844765342960288,0.4841229182759271,0.28235109165113464,0.28655234657039713,0.9913734991172599,0.9913734991172599
st_V2_high_takeoff_gt_2mm_max,0.125,0.5342960288808665,0.33071891388307384,0.49882239565099995,-0.40929602888086647,-0.8262715512883378,0.8262715512883378
morph_V2_high_takeoff_gt_2mm_max,0.125,0.5342960288808665,0.33071891388307384,0.49882239565099995,-0.40929602888086647,-0.8262715512883378,0.8262715512883378
morph_V2_high_takeoff_gt_1mm_mean,0.3458333333333333,0.6895522212149947,0.43267177064272533,0.42271289826609604,-0.3437188878816614,-0.8126470932613357,0.8126470932613357
st_V2_high_takeoff_gt_1mm_mean,0.3458333333333333,0.6895522212149947,0.43267177064272533,0.42271289826609604,-0.3437188878816614,-0.8126470932613357,0.8126470932613357
morph_V3_t_inversion_indicator_mean,0.3357142857142857,0.12154575945986013,0.43670846764665067,0.26078241693364035,0.21416852625442556,0.8035190242793404,0.8035190242793404
sq_aVL_rms,0.04282758021959568,0.06991250891715725,0.014781250004676868,0.0364660563535709,-0.027084928697561572,-0.7505412754352675,0.7505412754352675
sq_aVL_std,0.04229999920157429,0.06893425937903808,0.014336918093209347,0.035883399649116826,-0.026634260177463787,-0.7500813164018418,0.7500813164018418
morph_V2_high_takeoff_gt_1mm_max,0.5,0.7942238267148014,0.5,0.4042676586041709,-0.2942238267148014,-0.7230732711527798,0.7230732711527798
st_V2_high_takeoff_gt_1mm_max,0.5,0.7942238267148014,0.5,0.4042676586041709,-0.2942238267148014,-0.7230732711527798,0.7230732711527798
morph_V3_covedness_score_median,0.21582812499999998,0.1292682009626955,0.16616125508038015,0.11841539851047594,0.08655992403730448,0.7223796649949654,0.7223796649949654
morph_V2_high_takeoff_gt_1mm_median,0.375,0.6985559566787004,0.4841229182759271,0.45592537858729604,-0.3235559566787004,-0.708552101165943,0.708552101165943
st_V2_high_takeoff_gt_1mm_median,0.375,0.6985559566787004,0.4841229182759271,0.45592537858729604,-0.3235559566787004,-0.708552101165943,0.708552101165943
cl_argmax_st_v1v3,0.5,0.9927797833935018,0.5,0.7057923308739835,-0.4927797833935018,-0.7025352522563136,0.7025352522563136
sq_III_std,0.07923511691842047,0.12248766987912522,0.030786382208312747,0.06233426850820479,-0.04325255296070475,-0.7004615321215749,0.7004615321215749
sq_III_rms,0.08071443278992299,0.12467359496842689,0.031700345453969415,0.0636940347097002,-0.0439591621785039,-0.6966736807284194,0.6966736807284194
st_V3_st_area_above_baseline_max,1.1778125,2.1217897111913357,0.6979829393285699,1.4550319707408135,-0.9439772111913358,-0.6550342522476127,0.6550342522476127
st_V3_st_j60_max,0.09687499999999999,0.18394043321299638,0.06053343600853995,0.13713782320308618,-0.0870654332129964,-0.6412934206755213,0.6412934206755213
cl_max_covedness_v1v3,0.21870833333333334,0.14187755716004807,0.16309452674071495,0.11862720507254035,0.07683077617328526,0.640650788347153,0.640650788347153
morph_V3_t_peak_value_max,-0.031250000000000014,0.013487364620938627,0.06222389010661415,0.07042661915151498,-0.04473736462093864,-0.6369642752124826,0.6369642752124826
sq_aVL_range,0.394375,0.6172527075812274,0.15879620390613877,0.35457420598066725,-0.22287770758122744,-0.6348868899526533,0.6348868899526533
cl_n_leads_t_inverted_v1v3,0.375,0.12274368231046931,0.4841229182759271,0.397767755114493,0.2522563176895307,0.6304381021510185,0.6304381021510185
