feature_type,shap_V1,shap_V2,shap_V3,dominant_lead,v1v2v3_variance
morph_LEAD_trough_depth_between_humps_min,0.015077065370833248,0.16544787590376542,0.00025577358988732013,V2,0.005568831335251744
st_LEAD_st_convexity_max,0.0,0.14139382781325543,0.0,V2,0.004442714343041005
st_LEAD_st_curvature_sign_mean,0.03760878426267845,0.12911641582224154,0.0854233450557236,V2,0.0013965514767200558
morph_LEAD_saddleback_score_max,0.0,0.11266502783578447,0.04885173444763165,V2,0.0021280040965358307
morph_LEAD_t_inversion_indicator_n_valid,0.0,0.07810299553302277,0.0003883842463007315,V2,0.0013488655067778286
st_LEAD_st_j20_max,0.029248875823928964,0.06786637818944942,0.015330401400345334,V2,0.0004938960307129125
st_LEAD_st_convexity_min,0.0,0.06632359059483901,0.0,V2,0.0009775152598648482
morph_LEAD_t_peak_value_max,0.0,0.0599363254133186,0.01122810768134143,V2,0.0006767693311978571
morph_LEAD_trough_depth_between_humps_n_valid,0.06707116280975507,0.059898987810573866,0.027598874010812728,V1,0.00029475544763594546
st_LEAD_st_convexity_mean,0.012571958559090605,0.05911960340986932,0.00590538519605245,V2,0.0005603199401851906
st_LEAD_st_j60_mean,0.00245113548086366,0.04903965903107415,0.0,V2,0.0005090429721797866
st_LEAD_high_takeoff_gt_1mm_mean,0.014477881496007613,0.04850463912352796,0.0,V2,0.00041334770041757035
morph_LEAD_high_takeoff_gt_1mm_mean,0.006211175841353731,0.046667315880806484,0.0,V2,0.0004281240381936669
morph_LEAD_t_peak_value_median,0.007142001571282537,0.044385160579661694,0.0,V2,0.0003786781732277745
st_LEAD_j_point_amplitude_max,0.0,0.04359054215741793,0.0029993275311819127,V2,0.00039519755956112136
morph_LEAD_t_amplitude_std,0.16922768395370996,0.04346063579096569,0.041699466129544276,V1,0.003564877607061578
sq_LEAD_max,0.0,0.03908004131173259,0.0035421605578549314,V2,0.0003114152776467974
st_LEAD_st_convexity_std,0.0,0.0350350960889785,0.0,V2,0.00027276843510310144
st_LEAD_st_convexity_median,0.0,0.034533658907184316,4.659984735438482e-06,V2,0.0002649805984244093
morph_LEAD_t_peak_value_n_valid,0.004507070125257673,0.03412407666319063,0.0,V2,0.0002291037072774739
morph_LEAD_saddleback_score_std,0.018875363163403738,0.03375274067573998,0.0,V2,0.00019076257770207764
st_LEAD_st_monotonicity_mean,0.002959908936429287,0.03257361439312616,0.0,V2,0.0002163081073800031
morph_LEAD_t_peak_value_std,0.007778251258215095,0.03192686468830714,0.007545273386470501,V2,0.00013085242263272673
morph_LEAD_high_takeoff_gt_2mm_max,0.05335385325255729,0.03185083147153751,0.008015626445053449,V1,0.00034289463937980024
st_LEAD_s_amplitude_mean,0.068578092480417,0.031368083044971254,0.0,V1,0.0007857218004838669
st_LEAD_st_j40_min,0.007227404094904086,0.03113842153680554,0.0034532516515754755,V2,0.00015027217926071653
morph_LEAD_saddleback_score_min,0.005417582384379934,0.030149225105670058,0.0,V2,0.00017222001389527244
st_LEAD_high_takeoff_gt_2mm_std,0.003982403732979921,0.028873765153127926,0.0,V2,0.00016323708077320767
st_LEAD_st_curvature_sign_min,0.08272317256121038,0.02833698210542503,0.008723286354565384,V1,0.0009798375479885173
morph_LEAD_high_takeoff_gt_2mm_n_valid,0.013069158649795558,0.02541048960490845,0.024470829052783895,V2,3.1465499963914105e-05
st_LEAD_st_j60_median,0.010548996595055194,0.02354539391058741,0.0,V2,9.273036075004286e-05
morph_LEAD_second_hump_amplitude_mean,0.0,0.023475735187338094,0.0,V2,0.000122468920574672
morph_LEAD_t_mean_min,0.0,0.022119196571573907,0.0,V2,0.00010872419043820597
st_LEAD_j_point_confidence_median,0.011275087826816011,0.021859801940301807,0.0,V2,7.966830213731808e-05
st_LEAD_st_j20_std,0.009238975887897504,0.020617672343027697,0.017127022542079946,V2,2.2653405452156425e-05
st_LEAD_j_point_confidence_std,0.0,0.019413520526423148,0.0,V2,8.375217316218954e-05
st_LEAD_st_j40_n_valid,0.0,0.018993733011227174,0.02557821318419963,V3,0.00011759580694960134
st_LEAD_rs_ratio_std,0.0,0.01870495945094641,0.006958667408910994,V2,5.958599298957489e-05
morph_LEAD_saddleback_score_mean,0.02765677804876498,0.01836780315896204,0.0,V1,0.00013206206882537933
st_LEAD_j_point_amplitude_std,0.0,0.018131776878420398,0.0024303593853945244,V2,6.457805453347718e-05
st_LEAD_j_point_confidence_n_valid,0.016350360180382148,0.018066112325416453,0.0,V2,6.629583311177559e-05
st_LEAD_st_area_above_baseline_max,0.0069676911612823805,0.017613783493566203,0.06289320016156666,V3,0.0005879141569647542
st_LEAD_st_slope_j0_j40_max,0.017430922906446853,0.01757990681897264,0.0,V2,6.810137703782731e-05
