Model,Imbalance_Strategy,Feat_Selection,AUROC,AUPRC,Sensitivity,Specificity,F1_pos,Bal_Acc,Brier,ECE,Sens@90Spec,Threshold
CatBoost_Balanced,class_weight,none,0.922 ± 0.026,0.816 ± 0.099,0.857 ± 0.066,0.930 ± 0.039,0.810 ± 0.071,0.893 ± 0.041,0.081 ± 0.022,0.087 ± 0.024,0.790 ± 0.158,0.292 ± 0.102
CatBoost_Balanced,class_weight,l1_lr,0.912 ± 0.025,0.792 ± 0.052,0.857 ± 0.081,0.889 ± 0.034,0.752 ± 0.023,0.873 ± 0.028,0.092 ± 0.011,0.086 ± 0.035,0.750 ± 0.099,0.197 ± 0.043
CatBoost_Balanced,class_weight,univariate_f,0.894 ± 0.024,0.755 ± 0.091,0.843 ± 0.097,0.853 ± 0.127,0.718 ± 0.087,0.848 ± 0.021,0.098 ± 0.015,0.077 ± 0.020,0.683 ± 0.130,0.248 ± 0.170
BalancedRF,class_weight,univariate_f,0.892 ± 0.026,0.762 ± 0.090,0.857 ± 0.105,0.833 ± 0.139,0.704 ± 0.084,0.845 ± 0.022,0.100 ± 0.011,0.078 ± 0.025,0.683 ± 0.130,0.296 ± 0.170
CatBoost_Balanced,undersample,univariate_f,0.890 ± 0.028,0.740 ± 0.078,0.830 ± 0.108,0.854 ± 0.079,0.699 ± 0.040,0.842 ± 0.023,0.109 ± 0.009,0.123 ± 0.062,0.643 ± 0.115,0.362 ± 0.104
RF_Balanced,class_weight,univariate_f,0.888 ± 0.024,0.760 ± 0.091,0.790 ± 0.052,0.878 ± 0.068,0.708 ± 0.074,0.834 ± 0.029,0.098 ± 0.016,0.073 ± 0.020,0.657 ± 0.131,0.266 ± 0.114
LogReg_Unweighted_L1,class_weight,univariate_f,0.882 ± 0.017,0.699 ± 0.101,0.802 ± 0.067,0.871 ± 0.090,0.710 ± 0.072,0.837 ± 0.022,0.103 ± 0.014,0.079 ± 0.015,0.669 ± 0.128,0.285 ± 0.114
XGB_Balanced,class_weight,univariate_f,0.881 ± 0.033,0.736 ± 0.103,0.817 ± 0.050,0.875 ± 0.074,0.719 ± 0.067,0.846 ± 0.021,0.100 ± 0.014,0.066 ± 0.033,0.657 ± 0.122,0.312 ± 0.173
LogReg_Balanced_L1,class_weight,univariate_f,0.881 ± 0.014,0.729 ± 0.085,0.816 ± 0.119,0.850 ± 0.126,0.697 ± 0.076,0.833 ± 0.025,0.102 ± 0.010,0.099 ± 0.030,0.669 ± 0.137,0.281 ± 0.115
SVM_Linear_Balanced,class_weight,univariate_f,0.880 ± 0.023,0.737 ± 0.093,0.843 ± 0.100,0.829 ± 0.144,0.696 ± 0.102,0.836 ± 0.027,0.102 ± 0.014,0.086 ± 0.035,0.682 ± 0.122,0.250 ± 0.143
SVM_RBF_Balanced,class_weight,univariate_f,0.878 ± 0.023,0.721 ± 0.083,0.856 ± 0.097,0.805 ± 0.108,0.668 ± 0.064,0.830 ± 0.016,0.103 ± 0.013,0.107 ± 0.057,0.643 ± 0.094,0.231 ± 0.148
LogReg_Balanced_L2,class_weight,univariate_f,0.873 ± 0.025,0.703 ± 0.106,0.882 ± 0.117,0.776 ± 0.169,0.670 ± 0.112,0.829 ± 0.028,0.106 ± 0.016,0.101 ± 0.045,0.656 ± 0.123,0.223 ± 0.146
LGB_Balanced,class_weight,univariate_f,0.870 ± 0.034,0.727 ± 0.084,0.777 ± 0.032,0.881 ± 0.044,0.701 ± 0.049,0.829 ± 0.024,0.104 ± 0.014,0.067 ± 0.030,0.670 ± 0.136,0.275 ± 0.144
