feature,perm_importance_mean,native_importance_mean,perm_rank,native_rank,consensus_rank,consensus_position
st_V1_st_slope_j20_j80_min,0.0032089635007057,1.4160099733151987,1.0,7.0,4.0,1
morph_V1_t_amplitude_std,0.0015811823620353,2.5157707634013264,8.0,1.0,4.5,2
st_V2_st_curvature_sign_mean,0.0017239362774753,1.8177710335914163,6.0,3.0,4.5,3
st_V1_st_curvature_sign_n_valid,0.0028927707199032,1.3049939506147692,2.0,10.0,6.0,4
morph_V2_saddleback_score_max,0.0019410835517913,1.259083935431847,3.0,11.0,7.0,5
morph_V1_t_amplitude_n_valid,0.0018513141090273,1.3422273207696596,5.0,9.0,7.0,6
st_V3_st_area_above_baseline_n_valid,0.0013104960677555,1.596731942318634,13.0,5.0,9.0,7
st_V2_st_convexity_max,0.0010538415003024,1.5492794543153692,21.0,6.0,13.5,8
st_V1_st_curvature_sign_min,0.0012540330711836,1.2454971091719265,16.0,12.0,14.0,9
st_V3_st_j40_j0_ratio_mean,0.0011061874033743,0.9418107339483612,20.0,16.0,18.0,10
st_V1_st_j80_j0_ratio_max,0.0011075485648988,0.8637404809109119,19.0,20.0,19.5,11
morph_V2_trough_depth_between_humps_min,0.0007115177791221,1.7767315697315205,36.0,4.0,20.0,12
morph_V3_t_amplitude_mean,0.0008377697116354,0.985693472838228,28.0,15.0,21.5,13
st_V2_st_convexity_mean,0.0010298279222961,0.8466299866521988,23.0,21.0,22.0,14
morph_V2_t_peak_value_max,0.0007737279021308,0.934554204461661,34.0,18.0,26.0,15
sq_III_snr_proxy,0.001559319755327,0.5792854932002632,9.0,44.0,26.5,16
morph_V1_second_hump_present_n_valid,0.000821284533172,0.7584301254178315,30.0,27.0,28.5,17
sq_II_noise_energy,0.0009013578006318,0.668304599187019,26.0,35.0,30.5,18
st_V1_st_j80_median,0.0016912852053505,0.5058870226657832,7.0,54.0,30.5,19
morph_V1_high_takeoff_gt_2mm_max,0.001228792767359,0.5593948162451304,17.0,45.0,31.0,20
sq_V4_noise_energy,0.0010496403844861,0.6284462161567652,22.0,40.0,31.0,21
sq_V5_noise_energy,0.0012958761847146,0.4820412312582668,14.0,61.0,37.5,22
morph_V3_t_amplitude_min,0.0003990387847012,1.850630881083641,76.0,2.0,39.0,23
st_V1_st_j40_mean,0.000969869597365,0.513911523398803,25.0,53.0,39.0,24
st_V1_st_j20_median,0.0004696343348793,0.8355802063728921,58.0,22.0,40.0,25
