lead,n_features,is_priority,perm_importance_mean_per_feature,perm_importance_total,shap_mean_per_feature,shap_total,consensus_importance,importance_rank
V4,9,False,0.0003641639219376483,0.003277475297438835,0.02643156701216845,0.23788410310951605,0.01339786546705305,1
II,9,False,0.00032552672656523964,0.0029297405390871565,0.020862145023426846,0.1877593052108416,0.010593835874996042,2
aVF,9,False,0.00032512715377202715,0.002926144383948244,0.018710817677289694,0.16839735909560724,0.009517972415530861,3
V5,9,False,0.00023394613609375146,0.002105515224843763,0.015579916581868953,0.14021924923682058,0.007906931358981352,4
cross_lead,2,False,-0.00035646467701815,-0.0007129293540363,0.0158016794392747,0.0316033588785494,0.007722607381128274,5
V1,195,True,7.917340999615825e-05,0.015438814949250859,0.013784470470311967,2.6879717417108333,0.006931821940154063,6
V2,195,True,2.0556943000989006e-05,0.004008603885192856,0.01238386883033794,2.4148544219158983,0.006202212886669465,7
III,9,False,0.0002586580329068827,0.0023279222961619444,0.011998730913030645,0.10798857821727581,0.006128694472968764,8
I,9,False,-0.00019816196515127886,-0.0017834576863615097,0.011808291213996838,0.10627462092597154,0.0058050646244227795,9
V3,195,True,2.3625868876932102e-05,0.00460704443100176,0.009980907151929622,1.9462768946262763,0.005002266510403277,10
aVL,9,False,0.0002298477142195444,0.0020686294279758997,0.00934372262267296,0.08409350360405665,0.004786785168446253,11
V6,9,False,0.00015810012472644073,0.0014229011225379666,0.008467358447335375,0.07620622602601837,0.004312729286030908,12
aVR,9,False,5.489458000026398e-07,4.940512200023758e-06,0.006188310114722041,0.055694791032498366,0.003094429530261022,13
