feature,perm_importance_mean,perm_importance_std_within,perm_importance_fold_std,perm_importance_min,perm_importance_max,perm_stable
st_V1_st_slope_j20_j80_min,0.0032089635007057963,0.003753016241006243,0.0018107066891002504,0.00145593869731806,0.006030701754385914,False
st_V1_st_curvature_sign_n_valid,0.0028927707199032067,0.002288885886174247,0.0026947701972699534,-0.00038986354775832156,0.006666666666666721,False
morph_V2_saddleback_score_max,0.0019410835517913651,0.0020157414995836667,0.0011848308436745152,0.0005847953216373769,0.003586744639376242,False
sq_aVF_snr_proxy,0.0019361430395913389,0.0010537749864914184,0.0033448828401198543,-0.0005068226120857259,0.007318007662835305,False
morph_V1_t_amplitude_n_valid,0.0018513141090273715,0.0016849188078059778,0.001532450770304064,0.0,0.003601532567049866,False
st_V2_st_curvature_sign_mean,0.00172393627747531,0.00201049378604597,0.002692732717279565,-0.0010233918128655262,0.0060038986354775965,False
st_V1_st_j80_median,0.0016912852053505574,0.001976063183411319,0.0011141804878896234,-7.662835249039694e-05,0.002690058479532213,False
morph_V1_t_amplitude_std,0.0015811823620353524,0.0037545934704238245,0.005051029511534431,-0.006315789473684304,0.006819923371647548,False
sq_III_snr_proxy,0.0015593197553270162,0.001885563808488689,0.0010696810994693473,1.1102230246251566e-17,0.002605363984674358,False
morph_V3_trough_depth_between_humps_n_valid,0.0014139947570074648,0.0010460750214852884,0.002431061578419427,0.0,0.005614035087719308,False
st_V2_st_j80_j0_ratio_std,0.0013578174363110965,0.0007787759102952752,0.003393095199981571,-0.0006130268199233383,0.007407407407407418,False
sq_II_range,0.0013413490623109517,0.0016184760015967394,0.0008040603799466565,0.0005068226120856852,0.0024137931034483658,False
st_V3_st_area_above_baseline_n_valid,0.0013104960677555874,0.002863855046223633,0.0021996947303437194,-0.0007797270955166394,0.004980842911877448,False
sq_V5_noise_energy,0.0012958761847146785,0.0012024796933439825,0.0027451824025786164,-0.00023391812865491968,0.006176900584795279,False
sq_V4_mean,0.0012848020434227502,0.0012383359475380312,0.0017214810801367188,-0.0001559454191033464,0.003859649122807059,False
st_V1_st_curvature_sign_min,0.0012540330711836968,0.0023491129250786773,0.004246210415726919,-0.005302144249512764,0.0057699805068226395,False
morph_V1_high_takeoff_gt_2mm_max,0.0012287927673590156,0.001955413153989294,0.0020844643452215877,-0.0014424951267057303,0.0030651340996169173,False
st_V2_high_takeoff_gt_2mm_std,0.001223986690865105,0.0014343028559053203,0.0021131580447384364,-0.00011695906432753385,0.004934210526315755,False
st_V1_st_j80_j0_ratio_max,0.001107548564898845,0.001993535081205924,0.0018235899652932707,-0.0012260536398466804,0.0028849902534113458,False
st_V3_st_j40_j0_ratio_mean,0.0011061874033743532,0.0019310613421657016,0.0012541814506012874,-0.0002558479532163889,0.0026053639846744248,False
st_V2_st_convexity_max,0.0010538415003024696,0.0027449299117780625,0.0032848122881184694,-0.0014619883040936422,0.006053639846743353,False
sq_V4_noise_energy,0.0010496403844861362,0.0011743517861120486,0.0015949612651073959,0.0,0.0038596491228070815,False
st_V2_st_convexity_mean,0.0010298279222961722,0.0019125163545518215,0.0023024158989974407,-0.0015204678362574294,0.004717348927875283,False
sq_III_rms,0.0009704577535793495,0.0008314524911718976,0.0007847263142561111,0.0,0.0018713450292397202,False
st_V1_st_j40_mean,0.0009698695973650717,0.0018135551951407366,0.0013291383033685435,3.654970760232172e-05,0.003235867446393718,False
sq_II_noise_energy,0.0009013578006318605,0.0016073393049333272,0.0019140288542814272,-0.002066276803119001,0.002950191570881333,False
st_V2_high_takeoff_gt_2mm_min,0.0008476507360354983,0.0006897395114929966,0.0008307958082248494,0.0,0.0016812865497075834,False
morph_V3_t_amplitude_mean,0.0008377697116354121,0.002296601208789463,0.0024252704034603153,-0.003196881091618009,0.0033333333333334177,False
morph_V3_t_mean_max,0.0008309470995496697,0.0015789271393192937,0.00165074199689748,-0.001762452107279633,0.0025341130604289255,False
morph_V1_second_hump_present_n_valid,0.0008212845331720375,0.001154909994553525,0.0009404134603786542,-0.00011494252873561021,0.0022612085769981452,False
st_V1_r_amplitude_std,0.0008197217180883271,0.001930291821328991,0.0025625620553123775,-0.001900584795321673,0.003754789272030686,False
st_V2_s_amplitude_mean,0.0007994387309269372,0.001479183414434679,0.001047210284121423,-0.0004678362573099171,0.0021839080459770603,False
sq_V3_rms,0.0007924984875983157,0.00046548395115185795,0.0007610465167612509,0.0,0.0015325670498084938,False
morph_V2_t_peak_value_max,0.0007737279021308044,0.0013987143141662843,0.0008865293055181413,-0.0003508771929824535,0.0019923371647509974,False
morph_V2_saddleback_score_mean,0.0007189621563487347,0.0007759852894736292,0.00041867944374791074,0.0,0.0010344827586207398,False
morph_V2_trough_depth_between_humps_min,0.000711517779122138,0.0026139335957540465,0.002319198599216292,-0.003103448275862001,0.0027290448343078922,False
st_V3_st_j80_std,0.0006835215433219262,0.0011367053391449495,0.0010260827183636244,3.654970760234022e-05,0.002490421455938759,False
st_V1_high_takeoff_gt_1mm_mean,0.0006759427303892037,0.0013085378651997224,0.001189970032726006,-0.00038986354775823276,0.0026436781609195715,False
morph_V3_second_hump_present_n_valid,0.000636015325670507,0.00031230166854122375,0.0014221735029309208,0.0,0.003180076628352535,False
sq_aVF_noise_energy,0.000597650736035494,0.001421218065744241,0.001914802699204328,-0.001871345029239846,0.003141762452107366,False
morph_V2_t_mean_n_valid,0.0005939201451905718,0.0010226515959770404,0.001197970190506804,-0.0010136452241715998,0.002222222222222266,False
morph_V3_second_hump_present_median,0.0005440613026820026,0.00026199725666327926,0.0012165580567240401,0.0,0.0027203065134100016,False
sq_V5_snr_proxy,0.0005331552060227329,0.0014243493436686394,0.0016188256206119103,-0.0015984405458090397,0.002375478927203108,False
st_V1_st_slope_j0_j40_mean,0.0005298279222961733,0.001187809073406963,0.0010959991145022398,-0.0007675438596491446,0.002261208576998079,False
