lead,n_features,total_mean_abs_shap,mean_abs_shap_per_feature,mean_abs_shap_brugada
V4,9,0.23788410310951605,0.02643156701216845,0.025503703569305758
_II_,9,0.1877593052108416,0.020862145023426846,0.02089093691144172
aVF,9,0.16839735909560724,0.018710817677289694,0.020079141703406352
cl_,2,0.0316033588785494,0.0158016794392747,0.01720454575793392
V5,9,0.1402192492368206,0.015579916581868957,0.01643333067435685
V1,195,2.6879717417108333,0.013784470470311967,0.014913432854941793
V2,195,2.4148544219158987,0.012383868830337942,0.01313964442526289
_III_,9,0.10798857821727581,0.011998730913030645,0.011026951881875783
_I_,9,0.10627462092597152,0.011808291213996836,0.011495008448282459
V3,195,1.9462768946262763,0.009980907151929622,0.011429457412706097
aVL,9,0.08409350360405667,0.009343722622672962,0.008442586476305941
V6,9,0.07620622602601837,0.008467358447335375,0.008334834213063589
aVR,9,0.055694791032498366,0.006188310114722041,0.005729552572965816
